,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
72,2021,EN,FT,Research Scientist,60000,GBP,GB,50,GB,L
73,2021,EX,FT,BI Data Analyst,150000,USD,IN,100,US,L
74,2021,EX,FT,Head of Data,235000,USD,US,100,US,L
75,2021,SE,FT,Data Scientist,45000,EUR,FR,50,FR,L
76,2021,MI,FT,BI Data Analyst,100000,USD,US,100,US,M
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,IN,50,IN,M
78,2021,MI,CT,ML Engineer,270000,USD,US,100,US,L
79,2021,EN,FT,Data Analyst,80000,USD,US,100,US,M
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,DE,100,DE,L
81,2021,MI,FT,Data Engineer,140000,USD,US,100,US,L
82,2021,MI,FT,Applied Data Scientist,68000,CAD,GB,50,CA,L
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,ES,100,ES,S
84,2021,EX,FT,Director of Data Science,130000,EUR,IT,100,PL,L
85,2021,MI,FT,Data Engineer,110000,PLN,PL,100,PL,L
86,2021,EN,FT,Data Analyst,50000,EUR,FR,50,FR,M
87,2021,MI,FT,Data Analytics Engineer,110000,USD,US,100,US,L
88,2021,SE,FT,Lead Data Analyst,170000,USD,US,100,US,L
89,2021,SE,FT,Data Analyst,80000,USD,BG,100,US,S
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,GR,100,DK,L
91,2021,EN,FT,Data Science Consultant,65000,EUR,DE,100,DE,S
92,2021,MI,FT,Lead Data Analyst,1450000,INR,IN,100,IN,L
93,2021,SE,FT,Lead Data Engineer,276000,USD,US,0,US,L
94,2021,EN,FT,Data Scientist,2200000,INR,IN,50,IN,L
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,SG,50,SG,L
96,2021,EN,PT,AI Scientist,12000,USD,BR,100,US,S
97,2021,MI,FT,Financial Data Analyst,450000,USD,US,100,US,L
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,US,100,US,M
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,DE,100,US,S
100,2021,MI,FT,Data Analyst,75000,USD,US,0,US,L
101,2021,SE,FT,Data Engineer,150000,USD,US,100,US,L
